,Appellation,Robert,Robinson,Suckling,Prix
1154,Pomerol,94.0,16.5,97.5,295.00
1155,Saint-Emilion,93.0,16,92.0,85.00
1156,Haut-Médoc,85.0,16.5,93.0,16.67
1157,Listrac,87.0,16,90.0,19.00
1158,Margaux,87.0,15.5,94.0,49.00
1159,Pomerol,96.0,17,95.0,290.00
1160,Margaux,87.0,16,94.0,69.00
1161,Margaux,85.0,,93.0,22.50
1162,Pomerol,86.0,17,97.0,99.00
1163,Pomerol,87.0,15.5,89.0,58.25
1164,Pomerol,93.0,16,87.5,69.00
1165,Pauillac,100.0,18,100.0,950.00
1166,Saint-Emilion,94.0,16.5,94.0,157.00
1167,Haut-Médoc,91.0,,90.5,19.50
1168,Saint-Emilion,98.0,17.5,96.0,1050.00
1169,Saint-Emilion,94.0,16.5,94.0,240.00
1170,Saint-Emilion,92.0,16.5,95.0,243.33
1171,Saint-Emilion,91.0,15,92.0,195.00
1172,Margaux,93.0,17.5,95.0,94.00
1173,Saint-Emilion,95.0,17,98.0,110.00
1174,Castillon Côtes de Bordeaux,92.0,,90.0,33.00
1175,Saint-Emilion,,16,94.5,34.00
1176,Pomerol,95.0,15.5,95.0,265.00
1177,Saint-Emilion,93.0,16,93.0,26.00
1178,Saint-Emilion,95.0,16.5,95.0,765.00
1179,Saint-Julien,90.0,16.5,89.5,63.00
1180,Puisseguin-Saint-Emilion,90.0,,90.0,30.00
1181,Pessac-Léognan,90.0,15.5,94.0,49.00
1182,Saint-Emilion,94.0,16-,95.0,230.00
1183,Saint-Estèphe,91.0,15,91.0,25.00
1184,Pomerol,95.0,16.5,96.5,330.00
1185,Sauternes,,,89.5,25.50
1186,Pessac-Léognan,94.0,17,97.5,1680.00
1187,Margaux,87.0,,92.5,113.33
1188,Pomerol,85.0,15.5,90.0,49.00
1189,Sauternes,87.0,,,42.00
1190,Saint-Emilion,92.0,17,,176.83
1191,Saint-Emilion,,,91.5,46.00
1192,Saint-Emilion,92.0,15.5,93.0,47.00
1193,Saint-Emilion,89.0,16.5,95.5,290.00
1194,Margaux,93.0,17,95.5,71.67
1195,Margaux,90.0,17.5,95.5,81.00
1196,Saint-Emilion,98.0,18.5,100.0,1050.00
1197,Pomerol,90.0,15.5,94.0,50.00
1198,Margaux,89.0,,91.5,125.83
1199,Saint-Emilion,94.0,15,95.0,210.00
1200,Saint-Emilion,,,95.5,131.00
1201,Castillon Côtes de Bordeaux,91.0,16.5,92.5,20.17
1202,Saint-Emilion,92.0,15.5,95.0,156.00
1203,Pessac-Léognan,90.0,16,92.5,142.50
1204,Saint-Emilion,95.5,17.5,97.5,378.17
1205,Margaux,87.0,15.5,92.5,131.67
1206,Pomerol,90.0,16,94.0,41.00
1207,Pessac-Léognan,91.0,17,95.5,225.00
1208,Saint-Emilion,95.0,16,93.0,765.00
1209,Margaux,93.0,16,95.0,261.00
1210,Pauillac,95.0,16,96.0,129.00
1211,Saint-Emilion,100.0,17,93.0,1096.67
1212,Saint-Emilion,91.5,17.5,97.5,1260.00
1213,Pessac-Léognan,88.0,15,89.5,21.00
1214,Saint-Emilion,99.0,17.5,98.0,1050.00
1215,Saint-Emilion,89.0,,90.0,460.00
1216,Saint-Emilion,91.0,15.5,93.0,175.00
1217,Sauternes,92.0,16,93.0,43.00
1218,Pauillac,91.0,17,96.0,99.00
1219,Pessac-Léognan,91.0,16,94.5,29.50
1220,Pessac-Léognan,91.0,16,95.5,65.83
1221,Canon-Fronsac,91.0,,92.0,26.00
1222,Pessac-Léognan,100.0,17.5,96.0,396.00
1223,Pomerol,95.0,16,96.0,225.00
1224,Saint-Emilion,93.0,17.5,,1065.00
1225,Saint-Emilion,92.0,15.5,95.0,199.00
1226,Pauillac,88.0,15,91.5,38.50
1227,Pessac-Léognan,92.0,16,94.0,124.00
1228,Pomerol,89.0,,92.5,59.00
1229,Pauillac,91.0,15,94.0,40.00
1230,Listrac,,15,92.0,15.00
1231,Saint-Emilion,89.5,17.5,89.5,168.33
1232,Haut-Médoc,88.0,15.5,94.0,29.00
1233,Pomerol,93.0,16.5,95.0,75.00
1234,Saint-Emilion,99.0,18,98.0,1053.33
1235,Pauillac,92.0,17,96.0,350.00
1236,Sauternes,94.0,17,91.0,51.83
1237,Barsac,91.0,18,,99.83
1238,Pauillac,88.0,16,95.5,155.83
1239,Saint-Julien,91.0,,95.0,61.17
1240,Haut-Médoc,87.0,,91.5,88.33
1241,Saint-Emilion,,,92.5,120.00
1242,Pauillac,89.0,16.5,94.0,240.00
1243,Saint-Estèphe,97.0,17.5,97.0,195.00
1244,Moulis,,16,91.5,100.83
1245,Saint-Emilion,92.0,16.5,,870.00
1246,Saint-Emilion,93.0,,94.0,45.75
1247,Barsac,87.0,,,61.33
1248,Graves,,15.5,92.0,17.67
1249,Bordeaux Blancs Secs,91.0,16.5,94.5,160.00
1250,Saint-Emilion,,16,92.5,39.00
1251,Saint-Julien,96.0,16,96.0,80.00
1252,Margaux,94.0,17,94.0,65.83
1253,Saint-Julien,,15.5,92.0,60.00
1254,Pessac-Léognan,89.0,,92.0,23.50
1255,Haut-Médoc,89.0,16.5,,129.00
1256,Pauillac,,16,91.5,27.00
1257,Pessac-Léognan,95.0,16.5,97.5,131.00
1258,Pomerol,94.0,17.5,97.5,305.67
1259,Saint-Emilion,97.0,,95.5,157.33
1260,Fronsac,,16,92.0,25.33
1261,Margaux,91.0,18,95.5,82.00
1262,Margaux,99.0,17.5,100.0,1850.00
1263,Barsac,91.0,16.5,,54.00
1264,Pessac-Léognan,86.0,15.5,92.5,135.00
1265,Saint-Emilion,97.0,18.5,98.0,375.00
1266,Pauillac,98.0,18,97.5,597.83
1267,Sauternes,93.0,19-,,40.00
1268,Francs Côtes de Bordeaux,89.0,16,93.0,21.33
1269,Saint-Emilion,93.0,15.5,94.0,96.00
1270,Saint-Emilion,94.0,,91.5,49.00
1271,Saint-Emilion,94.0,16,95.0,140.00
1272,Pomerol,90.0,16,93.0,67.67
1273,Pessac-Léognan,87.0,16,93.0,24.00
1274,Margaux,89.0,14,91.5,34.50
1275,Saint-Emilion,91.0,17,,505.00
1276,Saint-Emilion,95.0,,94.0,71.00
1277,Saint-Emilion,92.0,16.5,93.0,42.00
1278,Pomerol,,15,92.5,29.00
1279,Listrac,,16,92.0,23.50
1280,Pomerol,82.0,,93.0,30.00
1281,Haut-Médoc,89.0,16,93.5,113.33
1282,Saint-Estèphe,93.0,17,96.0,59.00
1283,Pessac-Léognan,99.0,18,98.0,608.50
1284,Margaux,,16,92.5,41.17
1285,Haut-Médoc,89.0,15.5,92.0,32.00
1286,Saint-Emilion,,,,13.00
1287,Saint-Georges-Saint-Emilion,87.0,,91.0,25.83
1288,Saint-Estèphe,,16.5,93.5,201.67
1289,Pomerol,92.0,17,97.5,840.00
1290,Pomerol,,,91.5,30.00
1291,Saint-Emilion,93.0,16.5,95.5,175.00
1292,Médoc,88.0,16,91.0,31.17
1293,Pessac-Léognan,89.5,,94.5,125.83
1294,Saint-Estèphe,91.0,17,94.0,51.00
1295,Moulis,,15,92.5,99.17
1296,Pauillac,92.0,16,94.0,230.00
1297,Saint-Emilion,,16,93.5,145.83
1298,Saint-Emilion,88.0,,90.5,90.00
1299,Bordeaux Blancs Secs,,,,28.50
1300,Saint-Emilion,,16.5,95.0,42.00
1301,Moulis,90.0,15,92.0,39.00
1302,Puisseguin-Saint-Emilion,89.0,16.5,92.0,35.00
1303,Pessac-Léognan,92.0,15,93.0,29.08
1304,Saint-Julien,,16.5,94.5,43.00
1305,Saint-Estèphe,,,92.0,22.00
1306,Saint-Estèphe,90.0,17,93.0,34.00
1307,Saint-Emilion,94.0,17,96.5,73.33
1308,Saint-Julien,90.0,16.5,,180.00
1309,Saint-Emilion,96.0,18,98.0,720.00
1310,Pomerol,92.0,17.5,94.0,99.00
1311,Saint-Emilion,92.0,16.5,95.0,124.00
1312,Pomerol,99.0,16.5,99.0,275.00
1313,Margaux,95.0,17.5,97.0,680.00
1314,Margaux,93.0,17,97.0,226.00
1315,Margaux,,,,65.83
1316,Pessac-Léognan,90.0,15.5,93.0,145.00
1317,Pomerol,,,,139.00
1318,Saint-Emilion,96.0,18,96.0,150.00
1319,Pomerol,91.0,16,94.0,102.00
1320,Saint-Emilion,91.0,16.5,96.5,73.33
1321,Margaux,87.0,16.5,95.0,79.00
1322,Saint-Emilion,93.0,17,93.0,44.00
1323,Saint-Emilion,95.0,17.5,96.0,109.00
1324,Sauternes,90.0,18,,45.00
1325,Lalande de Pomerol,91.0,16,95.0,105.00
1326,Saint-Emilion,96.0,16,98.0,180.00
1327,Médoc,,15,,29.50
1328,Castillon Côtes de Bordeaux,92.0,15.5,93.5,19.33
1329,Saint-Emilion,92.0,15.5,92.0,50.00
1330,Pauillac,95.0,17,95.0,414.00
1331,Saint-Emilion,91.0,16.5,94.0,63.00
1332,Sauternes,95.0,16.5,,60.00
1333,Saint-Emilion,92.0,16.5,95.0,196.00
1334,Saint-Julien,87.0,15.5,93.5,123.33
1335,Pauillac,93.0,16.5,95.5,81.17
1336,Saint-Emilion,92.0,,93.0,37.50
1337,Saint-Emilion,90.0,15,95.0,118.00
1338,Sauternes,97.0,18,,81.00
1339,Sauternes,95.0,17.5,,60.00
1340,Saint-Emilion,93.0,,95.5,300.00
1341,Saint-Emilion,,,91.5,40.00
1342,Bordeaux Blancs Secs,91.0,15.5,93.5,48.00
1343,Pauillac,91.0,16,90.5,42.00
1344,Saint-Emilion,95.0,17,94.0,55.17
1345,Margaux,93.0,16,96.0,83.00
1346,Margaux,91.0,16,93.0,150.00
1347,Pomerol,98.0,17.5,98.0,380.00
1348,Castillon Côtes de Bordeaux,89.0,,,29.00
1349,Pessac-Léognan,91.0,16.5,92.0,101.00
1350,Sauternes,,,,21.00
1351,Graves,,15.5,92.5,16.00
1352,Pomerol,94.0,16.5,96.5,224.00
1353,Pauillac,93.0,16.5,96.0,55.00
1354,Pessac-Léognan,91.0,16,94.5,49.00
1355,Pomerol,88.0,16.5,95.0,99.00
1356,Pomerol,,,93.5,264.17
1357,Haut-Médoc,,,92.5,15.75
1358,Saint-Emilion,94.0,16.5,,265.00
1359,Saint-Estèphe,85.0,16.5,,49.00
1360,Sauternes,92.0,16,93.0,40.00
1361,Saint-Emilion,96.0,17.5,97.0,120.00
1362,Barsac,96.0,17.5,93.0,54.00
1363,Pessac-Léognan,95.0,16,97.0,198.33
1364,Pomerol,99.0,17.5,97.0,680.00
1365,Saint-Emilion,100.0,18.5,96.0,499.00
1366,Bordeaux Blancs Secs,94.0,16.5,96.5,350.00
1367,Pauillac,90.0,15.5,93.0,41.67
1368,Pauillac,96.0,17,99.0,1066.67
1369,Saint-Emilion,91.0,,92.5,19.83
1370,Saint-Julien,94.0,16,,190.00
1371,Saint-Emilion,93.0,16,93.5,44.00
1372,Saint-Emilion,92.0,16,95.0,52.42
1373,Saint-Julien,,,,28.00
1374,Saint-Emilion,,16.5,95.5,83.00
1375,Fronsac,89.0,,91.5,14.50
1376,Pomerol,,,90.5,149.00
1377,Margaux,97.0,17.5,99.0,890.00
1378,Saint-Emilion,93.0,14.5,94.5,76.00
1379,Saint-Emilion,87.0,15,92.0,33.00
1380,Pomerol,83.0,16.5,94.0,59.00
1381,Margaux,94.0,16,96.0,49.00
1382,Pomerol,92.0,16,94.0,39.50
1383,Saint-Emilion,85.5,,92.0,35.00
1384,Pessac-Léognan,90.0,,93.5,24.00
1385,Pomerol,98.0,18.5,98.0,290.00
1386,Pomerol,98.0,18,99.0,425.00
1387,Saint-Estèphe,90.0,16,93.5,117.50
1388,Sauternes,93.0,17,93.0,61.00
1389,Pomerol,92.0,,95.0,108.00
1390,Saint-Emilion,94.0,17,97.5,117.00
1391,Saint-Julien,,16.5,94.5,199.17
1392,Saint-Emilion,94.0,16.5,94.0,53.00
1393,Saint-Emilion,91.0,16.5,93.0,40.00
1394,Sauternes,91.0,16,,34.00
1395,Saint-Emilion,93.0,17,96.5,266.67
1396,Pomerol,,,95.0,99.00
1397,Pomerol,88.0,,92.5,37.00
1398,Saint-Julien,93.5,16.5,94.5,90.00
1399,Moulis,89.0,,93.0,71.67
1400,Margaux,89.0,17,,340.00
1401,Pomerol,88.0,16-,88.5,38.20
1402,Sauternes,95.0,16.5,,86.00
1403,Pessac-Léognan,93.0,16.5,90.0,355.00
1404,Fronsac,,,91.5,21.50
1405,Saint-Estèphe,90.0,16,92.5,26.00
1406,Sauternes,94.0,17.5,,60.00
1407,Saint-Estèphe,91.0,16.5,92.0,40.00
1408,Haut-Médoc,,,,69.58
1409,Saint-Julien,98.0,18,99.0,450.00
1410,Pauillac,98.0,17,98.0,1100.00
1411,Saint-Julien,91.0,16,94.0,37.00
1412,Saint-Emilion,93.0,16.5,93.0,99.00
1413,Saint-Estèphe,86.0,15.5,90.5,80.83
1414,Pessac-Léognan,96.0,17,94.0,48.33
1415,Saint-Emilion,,,,62.00
1416,Margaux,95.0,18.5,,690.00
1417,Pauillac,93.0,16,95.0,87.33
1418,Barsac,94.0,17,,59.00
1419,Saint-Estèphe,88.0,16,94.0,27.50
1420,Saint-Emilion,95.0,18.5,96.0,320.00
1421,Saint-Estèphe,87.0,15,92.5,110.83
1422,Margaux,93.0,17,94.0,680.00
1423,Pessac-Léognan,98.0,17,97.0,180.00
1424,Pauillac,90.0,16.5,97.0,52.00
1425,Saint-Emilion,92.0,15.5,93.0,51.50
1426,Margaux,94.0,17,,790.00
1427,Pessac-Léognan,92.0,15,94.0,150.00
1428,Saint-Estèphe,94.0,15,94.0,130.00
1429,Margaux,92.0,17.5,,680.00
1430,Saint-Emilion,90.0,16,93.0,25.00
1431,Haut-Médoc,,,,17.33
1432,Margaux,94.0,16.5,94.0,710.00
1433,Pessac-Léognan,97.0,17,97.0,305.00
1434,Saint-Estèphe,98.0,17.5,99.0,460.00
1435,Lalande de Pomerol,,,91.0,22.00
1436,Margaux,93.0,17,95.0,620.00
1437,Fronsac,86.0,,,19.00
1438,Sauternes,92.5,17.5,,60.00
1439,Sauternes,93.0,,,81.00
1440,Pessac-Léognan,90.0,15.5,94.5,264.17
1441,Barsac,97.0,18,,145.67
1442,Margaux,93.0,15.5,95.0,49.50
1443,Saint-Estèphe,94.0,15.5,98.0,398.00
1444,Sauternes,95.0,,,96.00
1445,Saint-Emilion,97.0,16.5,98.0,166.00
1446,Margaux,94.0,17.5,,390.00
1447,Pessac-Léognan,86.0,15,90.5,25.00
1448,Barsac,,16.5,,195.00
1449,Castillon Côtes de Bordeaux,88.0,16,93.5,95.83
1450,Saint-Estèphe,93.0,16.5,93.0,49.00
1451,Haut-Médoc,,,92.0,28.00
1452,Haut-Médoc,89.0,15.5,88.0,14.50
1453,Margaux,,16,92.5,130.00
1454,Margaux,97.0,18.5,100.0,969.00
1455,Saint-Estèphe,93.0,15,95.0,437.00
1456,Saint-Emilion,93.0,17,97.0,135.00
1457,Haut-Médoc,90.0,16.5,92.0,42.00
1458,Pessac-Léognan,88.0,15.5,92.0,68.00
1459,Pomerol,96.0,18,96.0,395.00
1460,Bordeaux Blancs Secs,91.0,,94.0,45.00
1461,Pomerol,96.0,16,98.0,620.00
1462,Saint-Julien,94.0,16,94.5,102.00
1463,Pomerol,91.0,16,93.5,279.17
1464,Pauillac,92.0,16.5,95.5,630.00
1465,Saint-Emilion,,,94.5,360.83
1466,Saint-Julien,100.0,18,100.0,470.00
1467,Barsac,93.0,17,,81.00
1468,Barsac,91.0,16.5,,61.33
1469,Castillon Côtes de Bordeaux,91.0,17,93.0,30.00
1470,Saint-Julien,,,91.5,193.33
1471,Saint-Emilion,100.0,19,100.0,1390.00
1472,Pauillac,93.0,17,96.0,380.00
1473,Barsac,94.0,16,91.0,45.00
1474,Sauternes,88.0,17.5,,81.00
1475,Saint-Emilion,93.0,16,93.0,40.00
1476,Listrac,88.5,15,89.5,72.50
1477,Pomerol,92.0,16.5,93.0,77.00
1478,Margaux,96.5,17.5,97.5,349.50
1479,Saint-Emilion,94.0,17,94.0,420.00
1480,Pomerol,93.0,16.5,93.0,95.00
1481,Barsac,94.0,16.5,94.0,45.00
1482,Saint-Julien,96.0,19,98.0,535.00
1483,Pomerol,,,91.5,29.67
1484,Haut-Médoc,88.5,16,93.5,25.00
1485,Margaux,100.0,18,,1540.00
1486,Lalande de Pomerol,91.0,,92.0,18.75
1487,Margaux,89.0,16.5,93.0,30.08
1488,Margaux,,,,46.00
1489,Saint-Emilion,,16,94.0,36.42
1490,Saint-Emilion,99.0,17,99.0,595.00
1491,Saint-Emilion,94.0,15.5,99.0,150.00
1492,Pauillac,,16.5,,28.00
1493,Saint-Emilion,93.0,16,94.0,50.00
1494,Puisseguin-Saint-Emilion,90.0,16,92.0,50.00
1495,Bordeaux Blancs Secs,90.0,17,,153.00
1496,Saint-Emilion,87.0,,,714.00
1497,Saint-Emilion,92.0,,93.5,31.00
1498,Barsac,95.0,17,94.0,43.00
1499,Montagne-Saint-Emilion,,,89.5,11.25
1500,Sauternes,93.0,16.5,95.0,57.50
1501,Pomerol,91.0,,91.0,33.00
1502,Saint-Emilion,,16,90.5,124.17
1503,Margaux,91.0,16.5,96.0,299.00
1504,Haut-Médoc,86.0,16,,14.20
1505,Moulis,88.0,16,89.5,32.00
1506,Pauillac,,17,93.0,39.00
1507,Margaux,,15,91.5,31.17
1508,Saint-Emilion,,,,26.50
1509,Haut-Médoc,,,93.0,20.83
1510,Saint-Emilion,92.0,15.5,92.0,475.00
1511,Saint-Emilion,93.0,17,95.0,58.00
1512,Margaux,92.0,16.5,94.5,38.67
1513,Saint-Julien,93.0,16,93.0,43.50
1514,Saint-Emilion,88.0,,92.0,38.20
1515,Côtes de Bourg,93.0,16.5,,99.00
1516,Saint-Emilion,93.0,,93.0,65.00
1517,Médoc,89.0,16.5,92.0,29.17
1518,Pomerol,,16,94.5,35.00
1519,Margaux,90.0,17,95.5,294.17
1520,Margaux,,15.5,92.5,150.00
1521,Saint-Emilion,89.0,16,94.5,378.33
1522,Pauillac,88.0,16,93.0,42.00
1523,Saint-Julien,90.0,16,93.0,79.30
1524,Pauillac,95.0,18,98.5,485.50
1525,Pauillac,90.0,15.5,94.5,322.50
1526,Margaux,87.0,14,92.0,36.00
1527,Haut-Médoc,86.0,16,88.5,16.67
1528,Saint-Julien,91.0,17.5,96.0,99.00
1529,Sauternes,,17.5,96.5,58.67
1530,Côtes de Bourg,92.0,16,,106.00
1531,Saint-Emilion,94.0,17.5,94.0,650.00
1532,Côtes de Bourg,93.0,16,,107.00
1533,Pessac-Léognan,93.0,17.5,96.0,106.00
1534,Saint-Emilion,90.0,,,641.00
1535,Saint-Emilion,94.0,18,97.0,370.00
1536,Saint-Emilion,,,91.0,49.00
1537,Pomerol,100.0,,98.0,375.00
1538,Saint-Emilion,91.5,16,90.0,395.00
1539,Saint-Emilion,91.0,16,94.5,32.00
1540,Saint-Emilion,95.0,,96.0,145.00
1541,Pessac-Léognan,87.0,16,92.5,150.83
1542,Pessac-Léognan,98.0,17.5,,450.00
1543,Pomerol,,15.5,94.0,69.00
1544,Saint-Emilion,92.0,15.5,93.0,35.00
1545,Margaux,99.0,18,100.0,1690.00
1546,Pomerol,90.0,16,93.0,34.00
1547,Saint-Emilion,92.0,16,,469.00
1548,Saint-Emilion,100.0,18.5,100.0,1050.00
1549,Pomerol,90.0,16,94.0,44.00
1550,Castillon Côtes de Bordeaux,90.0,15.5,,93.33
1551,Saint-Julien,93.0,17,95.0,78.00
1552,Saint-Emilion,90.0,16.5,94.5,189.00
1553,Pomerol,89.0,16.5,92.0,42.00
1554,Saint-Emilion,95.0,18,98.0,990.00
1555,Saint-Estèphe,93.0,17.5,98.0,460.00
1556,Saint-Emilion,95.0,,94.0,58.25
1557,Castillon Côtes de Bordeaux,92.0,17,92.5,110.00
1558,Saint-Julien,93.0,15.5,93.5,59.00
1559,Saint-Emilion,97.0,18,,323.00
1560,Pessac-Léognan,,15.5,94.5,30.00
1561,Saint-Emilion,96.0,17,,323.00
1562,Margaux,95.0,17.5,,990.00
1563,Pessac-Léognan,90.0,16.5,93.0,35.50
1564,Saint-Julien,90.0,16,96.0,105.00
1565,Pauillac,,16,93.5,138.33
1566,Haut-Médoc,,16.5,,23.83
1567,Pauillac,94.0,16,95.0,166.00
1568,Margaux,95.0,17,96.0,85.00
1569,Haut-Médoc,88.0,15.5,93.0,33.00
1570,Pauillac,,16,92.5,35.00
1571,Margaux,90.0,16.5,94.0,56.00
1572,Pessac-Léognan,55.0,17.5,,245.00
1573,Barsac,94.0,17,93.0,40.00
1574,Pomerol,,,,250.00
1575,Haut-Médoc,87.0,,92.5,18.50
1576,Pomerol,89.0,16.5,94.0,46.00
1577,Saint-Emilion,99.0,16.5,96.0,550.00
1578,Saint-Emilion,,15.5,93.5,138.33
1579,Saint-Emilion,91.0,,87.0,59.00
1580,Pessac-Léognan,95.0,17,99.0,175.00
1581,Pauillac,100.0,18,99.0,1275.00
1582,Saint-Estèphe,89.0,15,91.0,44.00
1583,Saint-Estèphe,89.0,15.5,96.0,455.00
1584,Moulis,91.0,15,93.0,54.08
1585,Pauillac,98.0,18,98.5,175.00
1586,Bordeaux Supérieur,,,88.5,52.08
1587,Saint-Julien,90.0,16,92.0,33.00
1588,Haut-Médoc,,16.5,91.0,12.50
1589,Saint-Emilion,97.0,17.5,,532.00
1590,Pauillac,92.0,16,93.0,37.50
1591,Sauternes,,,,98.33
1592,Saint-Emilion,90.0,,90.0,36.92
1593,Bordeaux,,16,,89.00
1594,Haut-Médoc,87.0,,90.5,95.00
1595,Saint-Estèphe,94.0,17.5,94.0,530.00
1596,Pomerol,91.0,,92.0,66.00
1597,Pauillac,96.0,17.5,97.0,175.00
1598,Saint-Estèphe,,,90.5,84.17
1599,Saint-Emilion,92.0,16,94.5,99.00
1600,Pomerol,90.0,,91.5,42.00
1601,Saint-Emilion,,,91.0,33.00
1602,Pauillac,94.0,17.5,96.5,1310.00
1603,Saint-Emilion,,,,61.00
1604,Saint-Emilion,93.0,,94.0,106.00
1605,Saint-Estèphe,86.0,16,93.5,124.17
1606,Médoc,88.0,16,91.0,17.50
1607,Pomerol,92.0,,92.0,70.00
1608,Saint-Emilion,96.0,18,,359.00
1609,Saint-Emilion,99.0,17,95.0,370.00
1610,Sauternes,98.0,17,97.0,535.00
1611,Sauternes,,,,30.00
1612,Pessac-Léognan,90.0,16,94.5,366.67
1613,Montagne-Saint-Emilion,,,91.5,20.67
1614,Saint-Emilion,,16,94.0,51.92
1615,Margaux,,,94.0,23.00
1616,Saint-Julien,91.0,17,,460.00
1617,Saint-Julien,94.0,16.5,94.0,420.00
1618,Saint-Emilion,,,,35.00
1619,Saint-Emilion,95.0,16.5,96.0,114.00
1620,Côtes de Bourg,92.0,15.5,,86.00
1621,Sauternes,88.0,16.5,90.0,38.50
1622,Pauillac,95.0,17.5,99.0,799.00
1623,Moulis,91.0,15.5,91.0,39.50
1624,Saint-Estèphe,92.0,16.5,93.0,48.00
1625,Saint-Julien,95.0,17,96.0,59.00
1626,Saint-Emilion,97.0,17,,312.00
1627,Saint-Julien,95.0,16,95.0,71.00
1628,Pessac-Léognan,98.0,18,100.0,591.83
1629,Bordeaux Blancs Secs,87.5,,,185.00
1630,Saint-Emilion,93.0,17,,89.00
1631,Saint-Emilion,91.0,16,95.0,40.58
1632,Sauternes,,16.5,93.5,37.50
1633,Bordeaux,91.0,,,65.00
1634,Haut-Médoc,92.0,,94.0,18.67
1635,Pauillac,86.0,16,,34.33
1636,Pomerol,89.0,,92.0,49.00
1637,Pauillac,86.5,16,92.5,185.00
1638,Moulis,88.0,16.5,91.0,38.00
1639,Saint-Emilion,93.0,15,95.0,36.92
1640,Margaux,,,,21.67
1641,Saint-Julien,95.0,15.5,95.0,375.00
1642,Saint-Emilion,94.0,14.5,98.0,130.00
1643,Saint-Julien,91.0,16,93.5,31.00
1644,Haut-Médoc,81.5,,89.5,140.00
1645,Pomerol,92.0,16,98.0,110.00
1646,Castillon Côtes de Bordeaux,90.0,15.5,92.5,18.67
1647,Margaux,,,90.0,62.50
1648,Pauillac,,15.5,,27.00
1649,Margaux,87.5,16,94.0,89.00
1650,Moulis,79.0,15.5,91.0,29.08
1651,Saint-Estèphe,100.0,18,99.0,250.00
1652,Saint-Julien,97.0,17.5,97.0,190.00
1653,Pomerol,91.0,16,93.0,36.42
1654,Saint-Estèphe,,,89.0,18.50
1655,Saint-Emilion,87.0,17-,,333.00
1656,Pomerol,93.0,17,97.0,88.00
1657,Saint-Emilion,87.5,17,,394.00
1658,Saint-Emilion,,16.5,93.0,39.00
1659,Margaux,86.0,16,92.0,39.00
1660,Saint-Emilion,89.0,16.5,93.0,62.00
1661,Saint-Emilion,89.0,17.5,,369.00
1662,Saint-Julien,95.0,17.5,,440.00
1663,Haut-Médoc,89.0,16,94.0,39.00
1664,Pomerol,90.0,16,93.0,38.00
1665,Bordeaux Blancs Secs,,,,27.33
1666,Pauillac,100.0,19,100.0,1140.00
1667,Saint-Emilion,86.0,15.5,92.0,42.00
1668,Pomerol,84.0,,88.0,31.60
1669,Côtes de Bourg,88.0,16.5,,188.00
1670,Bordeaux,89.0,16.5,,72.00
1671,Pomerol,93.0,,97.0,71.75
1672,Pomerol,94.0,16,93.0,78.00
1673,Bordeaux,92.0,16,,89.00
1674,Saint-Emilion,92.0,,90.0,54.00
1675,Côtes de Bourg,91.0,16.5,,107.00
1676,Haut-Médoc,87.0,15.5,93.0,28.00
1677,Médoc,83.0,,,190.00
1678,Saint-Emilion,92.0,,94.0,42.17
1679,Margaux,,16.5,94.0,39.00
1680,Fronsac,,,94.0,26.00
1681,Saint-Emilion,94.0,17.5,,298.00
1682,Médoc,90.0,16,90.0,22.00
1683,Haut-Médoc,87.0,16.5,93.0,37.00
1684,Saint-Emilion,,17,,404.00
1685,Pauillac,92.0,17,96.0,330.00
1686,Pessac-Léognan,95.0,17.5,96.5,140.00
1687,Canon-Fronsac,86.0,,89.5,19.17
1688,Margaux,90.0,14.5,90.0,295.00
1689,Saint-Emilion,94.0,16.5,,389.00
1690,Saint-Julien,97.0,18,,1050.00
1691,Saint-Emilion,92.0,15.5,92.0,41.00
1692,Pomerol,92.0,17,92.0,83.00
1693,Bordeaux Blancs Secs,88.0,,,41.67
1694,Margaux,,15.5,91.0,45.00
1695,Saint-Emilion,,14.5,,34.00
1696,Pomerol,,15.5,96.0,84.00
1697,Pomerol,94.0,15.5,97.0,85.00
1698,Margaux,89.0,16,92.0,31.50
1699,Margaux,88.0,15,93.0,48.00
1700,Saint-Emilion,,,94.5,36.00
1701,Pauillac,92.0,16,93.0,83.00
1702,Saint-Emilion,,16,,409.00
1703,Margaux,,15.5,93.0,22.33
1704,Saint-Emilion,89.0,17,,628.00
1705,Pomerol,,,89.5,144.17
1706,Saint-Julien,89.0,16.5,92.0,69.00
1707,Saint-Emilion,,,94.5,40.00
1708,Pauillac,96.0,16.5,,1220.00
1709,Saint-Julien,91.0,16,94.0,360.00
1710,Pessac-Léognan,94.0,17.5,92.0,369.17
1711,Pomerol,90.0,16.5,95.5,315.00
1712,Margaux,,15,92.5,215.00
1713,Médoc,88.0,15,91.5,110.00
1714,Saint-Julien,93.0,18,94.0,49.00
1715,Pomerol,92.0,16,93.5,69.83
1716,Saint-Emilion,94.0,16.5,96.0,146.00
1717,Saint-Emilion,91.0,16,94.0,39.00
1718,Bordeaux,91.0,16.5,,77.00
1719,Saint-Julien,95.0,16.5,94.0,124.17
1720,Côtes de Bourg,88.0,17.5,,224.00
1721,Pomerol,88.0,,92.0,54.08
1722,Pessac-Léognan,93.0,16,93.0,450.00
1723,Saint-Estèphe,97.0,16.5,93.0,765.00
1724,Fronsac,87.0,,87.5,107.50
1725,Saint-Emilion,94.0,16.5,,346.00
