,Appellation,Robert,Robinson,Suckling,Prix
218,Pomerol,87.0,17,91.0,59.00
219,Pauillac,88.0,16,94.0,40.00
220,Margaux,91.0,16,94.0,55.00
221,Haut-Médoc,88.0,,,12.17
222,Saint-Emilion,,16,93.0,28.00
223,Saint-Emilion,89.5,,93.0,29.00
224,Pomerol,90.0,16.5,,40.50
225,Moulis,87.0,15.5,91.5,28.50
226,Margaux,88.0,,,24.00
227,Margaux,94.0,16,95.0,93.50
228,Margaux,,,91.0,32.50
229,Pomerol,91.0,16,93.0,40.00
230,Pomerol,92.0,16,96.0,92.00
231,Lalande de Pomerol,90.0,16,90.0,25.00
232,Moulis,88.0,16,,25.00
233,Pomerol,88.0,16.5,90.0,34.00
234,Graves,89.0,15.5,91.0,18.00
235,Montagne-Saint-Emilion,88.0,15,91.0,14.00
236,Saint-Emilion,92.0,,93.0,37.00
237,Pomerol,90.0,,92.0,42.00
238,Pessac-Léognan,91.0,17,94.0,42.00
239,Saint-Estèphe,92.0,18,93.0,36.00
240,Pessac-Léognan,90.0,16.5,94.0,36.42
241,Saint-Emilion,93.0,16.5,95.0,68.00
242,Margaux,90.0,16.5,92.0,36.00
243,Margaux,91.0,16.5,92.5,33.33
244,Margaux,92.0,15,94.0,60.00
245,Pomerol,90.0,,93.5,33.50
246,Saint-Emilion,89.0,16.5,94.0,42.00
247,Pessac-Léognan,90.0,16,93.0,31.00
248,Pomerol,89.0,,91.0,41.00
249,Pomerol,93.0,17.5,96.0,105.00
250,Haut-Médoc,85.0,16,93.0,36.00
251,Moulis,90.0,15.5,92.0,34.92
252,Moulis,86.0,16,93.0,35.00
253,Margaux,89.0,16,96.0,58.25
254,Saint-Emilion,88.0,16.5,91.0,31.00
255,Pessac-Léognan,92.0,16.5,94.0,37.00
256,Castillon Côtes de Bordeaux,88.0,15,89.5,28.50
257,Pessac-Léognan,91.0,15.5,92.0,25.00
258,Saint-Estèphe,91.0,17,92.0,34.50
259,Saint-Estèphe,89.0,16,91.0,19.00
260,Pauillac,92.0,16.5,98.0,140.00
261,Haut-Médoc,94.0,17,95.0,47.83
262,Saint-Julien,95.0,17,94.0,67.00
263,Pessac-Léognan,88.0,16,91.0,37.00
264,Saint-Estèphe,92.0,15.5,94.0,48.00
265,Margaux,90.0,15,93.0,24.92
266,Pomerol,92.0,16,92.0,40.00
267,Montagne-Saint-Emilion,88.0,15,92.0,27.50
268,Margaux,84.0,,92.5,24.00
269,Saint-Estèphe,90.0,17,93.0,41.83
270,Margaux,89.0,16.5,92.0,41.00
271,Lalande de Pomerol,,16.5,92.0,28.50
272,Pauillac,93.0,18,94.5,72.00
273,Margaux,90.0,15.5,93.0,47.00
274,Saint-Estèphe,92.0,17.5,94.0,64.00
275,Castillon Côtes de Bordeaux,90.0,15.5,93.0,27.50
276,Margaux,,,91.0,18.50
277,Pomerol,,,93.0,37.00
278,Saint-Emilion,90.0,16.5,93.5,44.00
279,Pauillac,93.0,16,94.0,90.00
280,Castillon Côtes de Bordeaux,90.0,15,90.0,25.50
281,Saint-Estèphe,90.0,16,92.5,36.00
282,Barsac,90.0,17,,73.33
283,Haut-Médoc,90.0,,89.5,16.25
284,Saint-Estèphe,90.0,15.5,92.0,37.00
285,Saint-Estèphe,89.0,17,92.0,27.00
286,Margaux,92.0,17,94.0,55.00
287,Saint-Julien,93.0,16.5,97.0,70.00
288,Saint-Emilion,87.0,,90.5,29.00
289,Lalande de Pomerol,,,91.5,24.50
290,Haut-Médoc,89.0,16,92.0,19.75
291,Pomerol,,,94.0,33.83
292,Pauillac,98.0,17.5,97.0,225.00
293,Saint-Emilion,93.0,16.5,94.0,41.00
294,Castillon Côtes de Bordeaux,89.0,15,93.0,27.00
295,Saint-Julien,87.0,16.5,89.5,71.67
296,Saint-Emilion,94.0,,92.5,67.00
297,Margaux,88.0,15.5,91.0,31.00
298,Saint-Emilion,95.0,,94.0,85.00
299,Pauillac,90.0,15.5,92.5,35.00
300,Pessac-Léognan,91.0,15.5,93.0,47.00
301,Pauillac,90.0,,92.5,29.00
302,Saint-Emilion,88.0,,95.0,36.00
303,Margaux,,,,20.50
304,Listrac,88.0,16,90.0,18.75
305,Haut-Médoc,,16.5,88.0,31.17
306,Pessac-Léognan,90.0,,93.0,25.50
307,Pauillac,95.0,18,99.0,165.00
308,Saint-Emilion,,,,22.50
