Appellation,Robert,Robinson,Suckling,Prix
Sauternes,95,16.5,None,86.00
Pessac-Léognan,93,16.5,90,355.00
Fronsac,None,None,91.5,21.50
Saint-Estèphe,90.0,16,92.5,26.00
Sauternes,94,17.5,None,60.00
Saint-Estèphe,91,16.5,92,40.00
Haut-Médoc,None,None,None,69.58
Saint-Julien,98,18,99,450.00
Pauillac,98,17,98,1 100.00
Saint-Julien,91.0,16,94,37.00
Saint-Emilion,93.0,16.5,93,99.00
Saint-Estèphe,86.0,15.5,90.5,80.83
Pessac-Léognan,96,17,94,48.33
Saint-Emilion,None,None,None,62.00
Margaux,95,18.5,None,690.00
Pauillac,93,16,95,87.33
Barsac,94,17,None,59.00
Saint-Estèphe,88,16,94,27.50
Saint-Emilion,95,18.5,96,320.00
Saint-Estèphe,87.0,15,92.5,110.83
Margaux,93,17,94,680.00
Pessac-Léognan,98,17,97,180.00
Pauillac,90.0,16.5,97,52.00
Saint-Emilion,92,15.5,93,51.50
Margaux,94,17,None,790.00
Pessac-Léognan,92,15,94,150.00
Saint-Estèphe,94,15,94,130.00
Margaux,92,17.5,None,680.00
Saint-Emilion,90,16,93,25.00
Haut-Médoc,None,None,None,17.33
Margaux,94,16.5,94,710.00
Pessac-Léognan,97,17,97,305.00
Saint-Estèphe,98,17.5,99,460.00
Lalande de Pomerol,None,None,91,22.00
Margaux,93,17,95,620.00
Fronsac,86.0,None,None,19.00
Sauternes,92.5,17.5,None,60.00
Sauternes,93,None,None,81.00
Pessac-Léognan,90.0,15.5,94.5,264.17
Barsac,97,18,None,145.67
Margaux,93,15.5,95,49.50
Saint-Estèphe,94,15.5,98,398.00
Sauternes,95,None,None,96.00
Saint-Emilion,97.0,16.5,98,166.00
Margaux,94,17.5,None,390.00
Pessac-Léognan,86,15,90.5,25.00
Barsac,None,16.5,None,195.00
Castillon Côtes de Bordeaux,88.0,16,93.5,95.83
Saint-Estèphe,93.0,16.5,93,49.00
Haut-Médoc,None,None,92,28.00
Haut-Médoc,89,15.5,88,14.50
Margaux,None,16,92.5,130.00
Margaux,97,18.5,100,969.00
Saint-Estèphe,93,15,95,437.00
Saint-Emilion,93.0,17,97,135.00
Haut-Médoc,90,16.5,92,42.00
Pessac-Léognan,88,15.5,92,68.00
Pomerol,96,18,96,395.00
Bordeaux Blancs Secs,91,None,94,45.00
Pomerol,96,16,98,620.00
Saint-Julien,94,16,94.5,102.00
Pomerol,91.0,16,93.5,279.17
Pauillac,92.0,16.5,95.5,630.00
Saint-Emilion,None,None,94.5,360.83
Saint-Julien,100,18,100,470.00
Barsac,93,17,None,81.00
Barsac,91,16.5,None,61.33
Castillon Côtes de Bordeaux,91,17,93,30.00
Saint-Julien,None,None,91.5,193.33
Saint-Emilion,100,19,100,1 390.00
Pauillac,93,17,96,380.00
Barsac,94.0,16,91,45.00
Sauternes,88,17.5,None,81.00
Saint-Emilion,93,16,93,40.00
Listrac,88.5,15,89.5,72.50
Pomerol,92.0,16.5,93,77.00
Margaux,96.5,17.5,97.5,349.50
Saint-Emilion,94,17,94,420.00
Pomerol,93,16.5,93,95.00
Barsac,94,16.5,94,45.00
Saint-Julien,96,19,98,535.00
Pomerol,None,None,91.5,29.67
Haut-Médoc,88.5,16,93.5,25.00
Margaux,100,18,None,1 540.00
Lalande de Pomerol,91,None,92,18.75
Margaux,89.0,16.5,93,30.08
Margaux,None,None,None,46.00
Saint-Emilion,None,16,94,36.42
Saint-Emilion,99,17,99,595.00
Saint-Emilion,94,15.5,99,150.00
Pauillac,None,16.5,None,28.00
Saint-Emilion,93,16,94,50.00
Puisseguin-Saint-Emilion,90.0,16,92,50.00
Bordeaux Blancs Secs,90.0,17,None,153.00
Saint-Emilion,87,None,None,714.00
Saint-Emilion,92.0,None,93.5,31.00
Barsac,95.0,17,94,43.00
Montagne-Saint-Emilion,None,None,89.5,11.25
Sauternes,93,16.5,95,57.50
Pomerol,91,None,91,33.00
Saint-Emilion,None,16,90.5,124.17
Margaux,91,16.5,96,299.00
Haut-Médoc,86,16,None,14.20
Moulis,88,16,89.5,32.00
Pauillac,None,17,93,39.00
Margaux,None,15,91.5,31.17
Saint-Emilion,None,None,None,26.50
Haut-Médoc,None,None,93,20.83
Saint-Emilion,92,15.5,92,475.00
Saint-Emilion,93,17,95,58.00
Margaux,92.0,16.5,94.5,38.67
Saint-Julien,93,16,93,43.50
Saint-Emilion,88.0,None,92,38.20
Côtes de Bourg,93.0,16.5,None,99.00
Saint-Emilion,93,None,93,65.00
Médoc,89,16.5,92,29.17
Pomerol,None,16,94.5,35.00
Margaux,90.0,17,95.5,294.17
Margaux,None,15.5,92.5,150.00
Saint-Emilion,89.0,16,94.5,378.33
Pauillac,88,16,93,42.00
Saint-Julien,90,16,93,79.30
Pauillac,95.0,18,98.5,485.50
Pauillac,90.0,15.5,94.5,322.50
Margaux,87,14,92,36.00
Haut-Médoc,86,16,88.5,16.67
Saint-Julien,91,17.5,96,99.00
Sauternes,None,17.5,96.5,58.67
Côtes de Bourg,92,16,None,106.00
Saint-Emilion,94,17.5,94,650.00
Côtes de Bourg,93,16,None,107.00
Pessac-Léognan,93,17.5,96,106.00
Saint-Emilion,90,None,None,641.00
Saint-Emilion,94,18,97,370.00
Saint-Emilion,None,None,91,49.00
Pomerol,100,None,98,375.00
Saint-Emilion,91.5,16,90,395.00
Saint-Emilion,91.0,16,94.5,32.00
Saint-Emilion,95.0,None,96,145.00
Pessac-Léognan,87.0,16,92.5,150.83
Pessac-Léognan,98,17.5,None,450.00
Pomerol,None,15.5,94,69.00
Saint-Emilion,92.0,15.5,93,35.00
Margaux,99,18,100,1 690.00
Pomerol,90.0,16,93,34.00
Saint-Emilion,92,16,None,469.00
Saint-Emilion,100,18.5,100,1 050.00
Pomerol,90,16,94,44.00
Castillon Côtes de Bordeaux,90.0,15.5,None,93.33
Saint-Julien,93,17,95,78.00
Saint-Emilion,90.0,16.5,94.5,189.00
Pomerol,89.0,16.5,92,42.00
Saint-Emilion,95,18,98,990.00
Saint-Estèphe,93,17.5,98,460.00
Saint-Emilion,95,None,94,58.25
Castillon Côtes de Bordeaux,92,17,92.5,110.00
Saint-Julien,93,15.5,93.5,59.00
Saint-Emilion,97,18,None,323.00
Pessac-Léognan,None,15.5,94.5,30.00
Saint-Emilion,96.0,17,None,323.00
Margaux,95,17.5,None,990.00
Pessac-Léognan,90,16.5,93,35.50
Saint-Julien,90,16,96,105.00
Pauillac,None,16,93.5,138.33
Haut-Médoc,None,16.5,None,23.83
Pauillac,94.0,16,95,166.00
Margaux,95.0,17,96,85.00
Haut-Médoc,88.0,15.5,93,33.00
Pauillac,None,16,92.5,35.00
Margaux,90,16.5,94,56.00
Pessac-Léognan,55,17.5,None,245.00
Barsac,94.0,17,93,40.00
Pomerol,None,None,None,250.00
Haut-Médoc,87.0,None,92.5,18.50
Pomerol,89,16.5,94,46.00
Saint-Emilion,99,16.5,96,550.00
Saint-Emilion,None,15.5,93.5,138.33
Saint-Emilion,91,None,87,59.00
Pessac-Léognan,95,17,99,175.00
Pauillac,100,18,99,1 275.00
Saint-Estèphe,89,15,91,44.00
Saint-Estèphe,89,15.5,96,455.00
Moulis,91,15,93,54.08
Pauillac,98.0,18,98.5,175.00
Bordeaux Supérieur,None,None,88.5,52.08
Saint-Julien,90.0,16,92,33.00
Haut-Médoc,None,16.5,91,12.50
Saint-Emilion,97.0,17.5,None,532.00
Pauillac,92,16,93,37.50
Sauternes,None,None,None,98.33
Saint-Emilion,90,None,90,36.92
Bordeaux,None,16,None,89.00
Haut-Médoc,87.0,None,90.5,95.00
Saint-Estèphe,94,17.5,94,530.00
Pomerol,91.0,None,92,66.00
Pauillac,96,17.5,97,175.00
Saint-Estèphe,None,None,90.5,84.17
Saint-Emilion,92.0,16,94.5,99.00
Pomerol,90.0,None,91.5,42.00
Saint-Emilion,None,None,91,33.00
Pauillac,94,17.5,96.5,1 310.00
Saint-Emilion,None,None,None,61.00
Saint-Emilion,93,None,94,106.00
Saint-Estèphe,86.0,16,93.5,124.17
Médoc,88,16,91,17.50
Pomerol,92,None,92,70.00
Saint-Emilion,96,18,None,359.00
Saint-Emilion,99,17,95,370.00
Sauternes,98,17,97,535.00
Sauternes,None,None,None,30.00
Pessac-Léognan,90.0,16,94.5,366.67
Montagne-Saint-Emilion,None,None,91.5,20.67
Saint-Emilion,None,16,94,51.92
Margaux,None,None,94,23.00
Saint-Julien,91,17,None,460.00
Saint-Julien,94,16.5,94,420.00
Saint-Emilion,None,None,None,35.00
Saint-Emilion,95,16.5,96,114.00
Côtes de Bourg,92,15.5,None,86.00
Sauternes,88,16.5,90,38.50
Pauillac,95,17.5,99,799.00
Moulis,91,15.5,91,39.50
Saint-Estèphe,92,16.5,93,48.00
Saint-Julien,95,17,96,59.00
Saint-Emilion,97.0,17,None,312.00
Saint-Julien,95,16,95,71.00
Pessac-Léognan,98,18,100,591.83
Bordeaux Blancs Secs,87.5,None,None,185.00
Saint-Emilion,93,17,None,89.00
Saint-Emilion,91.0,16,95,40.58
Sauternes,None,16.5,93.5,37.50
Bordeaux,91,None,None,65.00
Haut-Médoc,92,None,94,18.67
Pauillac,86,16,None,34.33
Pomerol,89.0,None,92,49.00
Pauillac,86.5,16,92.5,185.00
Moulis,88,16.5,91,38.00
Saint-Emilion,93.0,15,95,36.92
Margaux,None,None,None,21.67
Saint-Julien,95,15.5,95,375.00
Saint-Emilion,94,14.5,98,130.00
Saint-Julien,91.0,16,93.5,31.00
Haut-Médoc,81.5,None,89.5,140.00
Pomerol,92,16,98,110.00
Castillon Côtes de Bordeaux,90.0,15.5,92.5,18.67
Margaux,None,None,90,62.50
Pauillac,None,15.5,None,27.00
Margaux,87.5,16,94,89.00
Moulis,79,15.5,91,29.08
Saint-Estèphe,100,18,99,250.00
Saint-Julien,97,17.5,97,190.00
Pomerol,91,16,93,36.42
Saint-Estèphe,None,None,89,18.50
Saint-Emilion,87,17-,None,333.00
Pomerol,93.0,17,97,88.00
Saint-Emilion,87.5,17,None,394.00
Saint-Emilion,None,16.5,93,39.00
Margaux,86,16,92,39.00
Saint-Emilion,89,16.5,93,62.00
Saint-Emilion,89,17.5,None,369.00
Saint-Julien,95,17.5,None,440.00
Haut-Médoc,89,16,94,39.00
Pomerol,90,16,93,38.00
Bordeaux Blancs Secs,None,None,None,27.33
Pauillac,100,19,100,1 140.00
Saint-Emilion,86,15.5,92,42.00
Pomerol,84,None,88,31.60
Côtes de Bourg,88,16.5,None,188.00
Bordeaux,89.0,16.5,None,72.00
Pomerol,93,None,97,71.75
Pomerol,94,16,93,78.00
Bordeaux,92,16,None,89.00
Saint-Emilion,92,None,90,54.00
Côtes de Bourg,91.0,16.5,None,107.00
Haut-Médoc,87,15.5,93,28.00
Médoc,83.0,None,None,190.00
Saint-Emilion,92.0,None,94,42.17
Margaux,None,16.5,94,39.00
Fronsac,None,None,94,26.00
Saint-Emilion,94.0,17.5,None,298.00
Médoc,90,16,90,22.00
Haut-Médoc,87,16.5,93,37.00
Saint-Emilion,None,17,None,404.00
Pauillac,92,17,96,330.00
Pessac-Léognan,95,17.5,96.5,140.00
Canon-Fronsac,86.0,None,89.5,19.17
Margaux,90,14.5,90,295.00
Saint-Emilion,94,16.5,None,389.00
Saint-Julien,97,18,None,1 050.00
Saint-Emilion,92.0,15.5,92,41.00
Pomerol,92.0,17,92,83.00
Bordeaux Blancs Secs,88.0,None,None,41.67
Margaux,None,15.5,91,45.00
Saint-Emilion,None,14.5,None,34.00
Pomerol,None,15.5,96,84.00
Pomerol,94,15.5,97,85.00
Margaux,89,16,92,31.50
Margaux,88,15,93,48.00
Saint-Emilion,None,None,94.5,36.00
Pauillac,92,16,93,83.00
Saint-Emilion,None,16,None,409.00
Margaux,None,15.5,93,22.33
Saint-Emilion,89,17,None,628.00
Pomerol,None,None,89.5,144.17
Saint-Julien,89,16.5,92,69.00
Saint-Emilion,None,None,94.5,40.00
Pauillac,96,16.5,None,1 220.00
Saint-Julien,91,16,94,360.00
Pessac-Léognan,94,17.5,92,369.17
Pomerol,90.0,16.5,95.5,315.00
Margaux,None,15,92.5,215.00
Médoc,88.0,15,91.5,110.00
Saint-Julien,93,18,94,49.00
Pomerol,92.0,16,93.5,69.83
Saint-Emilion,94,16.5,96,146.00
Saint-Emilion,91,16,94,39.00
Bordeaux,91.0,16.5,None,77.00
Saint-Julien,95,16.5,94,124.17
Côtes de Bourg,88,17.5,None,224.00
Pomerol,88.0,None,92,54.08
Pessac-Léognan,93,16,93,450.00
Saint-Estèphe,97,16.5,93,765.00
Fronsac,87.0,None,87.5,107.50
Saint-Emilion,94,16.5,None,346.00
Margaux,92,15.5,93,42.00
Saint-Emilion,None,17,97.5,129.00
Saint-Estèphe,91,16,92,31.00
Sauternes,None,17,96,425.00
Pomerol,94,16.5,94,95.00
Saint-Estèphe,92.0,16.5,93.5,40.00
Saint-Emilion,None,18,None,332.00
Saint-Emilion,92,16.5,None,268.00
Saint-Emilion,None,15,94,175.00
Haut-Médoc,None,16,91,18.17
Saint-Julien,95,17.5,97,290.00
Pessac-Léognan,98,18,98,345.00
Saint-Emilion,91,None,90.5,61.00
Saint-Emilion,87.0,None,93.5,180.83
Sauternes,95,17,100,410.00
Saint-Estèphe,88.0,15,89,26.00
Saint-Emilion,92.0,16.5,95.5,175.00
Pomerol,99,17,100,445.00
Saint-Julien,91,16.5,95,105.00
Pomerol,100,16.5,99,310.00
Margaux,88.5,16,92.5,48.00
Saint-Julien,93,16.5,None,660.00
Pauillac,90,16.5,None,31.08
Pessac-Léognan,91.0,16.5,96.5,436.67
Saint-Emilion,88,15.5,90,42.00
Saint-Estèphe,90,17,91,90.00
Pessac-Léognan,95.0,16,95,222.50
Saint-Emilion,92,14.5,None,98.83
Pauillac,90,16.5,91,114.29
Pomerol,91,16.5,93,86.00
Saint-Emilion,None,16.5,94,87.00
Saint-Emilion,None,15,93.5,37.50
Pauillac,87,17.5,None,167.00
Saint-Emilion,85.0,17,88.5,27.50
Saint-Julien,98,18,100,445.00
Pauillac,90,None,None,185.00
Saint-Emilion,None,17.5,None,553.00
Pessac-Léognan,97,17,98,320.00
Sauternes,95.0,18,92,59.00
Médoc,90.0,16.5,92,36.42
Pauillac,87,None,None,29.50
Margaux,89,14.5,92,44.17
Margaux,89,None,92,53.33
Pessac-Léognan,94,16,95,230.00
Pomerol,93,16,96,87.00
Pomerol,88,16.5,92,44.00
Saint-Julien,88.0,16.5,None,56.00
Saint-Estèphe,100,18,99,265.00
Pauillac,91,16,91.5,95.00
Saint-Emilion,92,15,92,40.00
Margaux,90,16,93,99.00
Saint-Emilion,88,16.5,None,1 047.00
Saint-Julien,None,None,92,31.00
Sauternes,92,19,None,140.00
Pomerol,None,None,95.5,95.00
Saint-Emilion,95.0,15,99,122.00
Pomerol,None,None,88.5,116.67
Saint-Emilion,92,None,95,785.00
Barsac,94,17,None,58.17
Sauternes,98,18,100,395.00
Saint-Emilion,89,15.5,94,49.10
Pomerol,93,16,97,149.00
Saint-Julien,94,16,95,75.00
Saint-Emilion,None,16,None,109.17
Saint-Emilion,98,16.5,93.5,286.00
Saint-Estèphe,88,None,93,52.00
Saint-Julien,92,16.5,91.5,66.00
Saint-Estèphe,90.0,16,90.5,40.00
Saint-Emilion,96.0,17,98,150.00
Castillon Côtes de Bordeaux,92.0,None,92.5,28.00
Pauillac,99,18.5,100,1 250.00
Saint-Estèphe,90,16,91,58.00
Saint-Julien,91,17.5,93,101.00
Pauillac,98,17,99,950.00
Sauternes,94,17,95,41.00
Pomerol,86,15,91,65.00
Saint-Emilion,92,16,95,49.00
Pomerol,97.0,18,100,420.00
Haut-Médoc,89.0,16.5,92,33.00
Saint-Julien,96,None,None,535.00
Saint-Estèphe,92.0,16.5,93.5,35.00
Sauternes,None,18,None,430.00
Pomerol,90,15.5,91,34.00
Saint-Emilion,90,None,None,555.00
Margaux,93,16.5,96,253.00
Sauternes,91,None,93,26.00
Pauillac,91,16.5,92,86.00
Saint-Emilion,92.0,16,94.5,28.00
Bordeaux Blancs Secs,None,17,98,295.00
Saint-Emilion,None,None,91.5,105.00
Pomerol,93.0,None,95,85.00
Margaux,87,15.5,None,600.00
Pomerol,95,15.5,98,160.17
Margaux,None,16.5,None,119.00
Margaux,90.0,15.5,88,28.08
Haut-Médoc,None,None,None,19.50
Sauternes,94,17.5,93,57.17
Saint-Estèphe,92,16.5,94,39.00
Sauternes,93,17,96,385.00
Saint-Julien,98,18,None,535.00
Saint-Emilion,90,None,None,555.00
Margaux,90,17,None,1 590.00
Margaux,None,16,None,695.00
Castillon Côtes de Bordeaux,None,None,91.5,17.40
Saint-Julien,96,17.5,95,123.60
Saint-Julien,90,18,94,62.33
Pessac-Léognan,96.0,17.5,98.5,455.50
Pauillac,93,16,95,128.33
Saint-Emilion,89,16,93,32.00
Pomerol,87,None,None,49.00
Saint-Emilion,94.0,16,92,54.00
Saint-Emilion,94,17.5,None,655.00
Saint-Emilion,90.0,None,93.5,34.30
Saint-Emilion,89,15.5,93,55.50
Saint-Estèphe,96,18,95,470.00
Pessac-Léognan,96,18,None,665.00
Saint-Emilion,100,18,98,1 250.00
Pauillac,86.0,16.5,93.5,160.83
Sauternes,95,18,93,59.00
Haut-Médoc,90.0,None,None,12.00
Saint-Julien,87.0,15.5,93.5,211.67
Saint-Emilion,None,16.5,None,730.00
Pomerol,90,16.5,91,33.00
Margaux,97,17,None,1 580.00
Pomerol,90.0,16.5,93,105.00
Saint-Estèphe,93,17,96,191.70
Margaux,74,None,None,765.00
Pessac-Léognan,90,16-,92,48.70
Saint-Emilion,92.0,16,94,115.00
Saint-Emilion,90,15.5,96,150.00
Pomerol,90,16,91,148.00
Pauillac,85,None,None,310.00
Francs Côtes de Bordeaux,92,None,95,22.50
Montagne-Saint-Emilion,None,None,92,22.83
Pauillac,87,17,92,57.80
Saint-Emilion,94,16.5,91,42.50
Margaux,98,18.5,98,460.00
Saint-Emilion,98,18,98,1 080.00
Margaux,94,16.5,96,93.58
Pomerol,None,17,96.5,101.00
Pomerol,97,16,95,210.00
Margaux,91,16,94.5,416.67
Haut-Médoc,91,16,94,36.50
Pauillac,None,None,None,50.00
Saint-Estèphe,None,15,91,23.00
Pauillac,95,17,98,1 030.00
Lalande de Pomerol,None,None,None,142.50
Pessac-Léognan,94.0,16.5,96.5,1 008.33
Saint-Emilion,94,17.5,None,499.00
Saint-Julien,94,17.5,96,420.00
Saint-Estèphe,90,16.5,90,225.00
Pauillac,96,17.5,None,440.00
Pomerol,88.0,17.5,95,43.00
Margaux,None,None,92,50.00
Margaux,93,16,95,236.00
Saint-Estèphe,92,15.5,None,580.00
Pomerol,None,None,94.5,59.33
Saint-Estèphe,94,15.5,93,99.00
Saint-Julien,None,17,None,87.33
Pomerol,None,16.5,94.5,61.17
Pauillac,87.0,16.5,92,53.40
Margaux,94,18,None,950.00
Haut-Médoc,90.0,16,91,62.00
Bordeaux Blancs Secs,88.0,None,None,61.00
Saint-Emilion,90.5,16,93.5,356.67
Puisseguin-Saint-Emilion,87.0,None,90,27.30
Pauillac,None,None,None,35.33
Pomerol,None,None,91.0,155.00
Saint-Emilion,None,15.5,None,127.50
Pomerol,87,None,92,38.20
Saint-Emilion,91,17,93,52.00
Pauillac,90,15,91.5,41.00
Saint-Emilion,93,16,None,149.00
Pauillac,93,17,95,365.00
Margaux,87.75,None,None,1 495.00
Saint-Emilion,92,None,90.5,48.00
Pauillac,88,14.5,93,85.00
Fronsac,None,None,90.5,101.67
Castillon Côtes de Bordeaux,None,16,None,119.67
Pomerol,88,15,93,79.00
Pessac-Léognan,91.0,16,94.5,588.33
Sauternes,91.0,16.5,None,365.00
Saint-Emilion,None,15,98.5,445.00
Pomerol,None,None,95,140.00
Pauillac,None,15.5,97,52.00
Pessac-Léognan,89,16.5,91,25.00
Margaux,88.0,16,93.5,165.00
Fronsac,None,None,93.5,24.50
Saint-Emilion,93.0,15,93,99.00
Sauternes,None,15,None,110.00
Saint-Julien,91,16.5,92,130.00
Saint-Estèphe,95,18,94,230.00
Saint-Emilion,90.0,None,94,31.50
Saint-Estèphe,94,17,94,245.00
Saint-Julien,93,16.5,95,505.00
Fronsac,86,16.5,None,24.00
Saint-Emilion,91.0,17,92.5,31.17
Pauillac,None,16,91.5,142.50
Margaux,89,16,94,124.00
Saint-Estèphe,92.0,16.5,94,39.50
Pomerol,None,16,96,75.90
Saint-Emilion,92,16.5,94,49.00
Saint-Estèphe,94,17,92,230.00
Pessac-Léognan,None,16.5,93.5,403.33
Saint-Emilion,97,17,92,710.00
Pauillac,95,16,98,110.00
Pomerol,87,17,96,120.00
Saint-Julien,92,15.5,94,64.50
Pauillac,80,None,None,150.00
Saint-Emilion,90.0,16,93.5,285.83
Pomerol,90,16.5,93,86.00
Médoc,None,15.5,92.5,24.50
Sauternes,None,None,None,209.00
Saint-Emilion,90.0,None,96,160.00
Pomerol,91,16,93,79.50
Pauillac,None,None,92.5,20.50
Pomerol,None,16.5,94,53.00
Pomerol,95,17,98,360.00
Saint-Julien,94,17,96,1 570.00
Margaux,91.0,16,89,61.20
Sauternes,91.0,15.5,92,32.17
Pauillac,89,None,None,242.00
Saint-Emilion,95.0,15,96,128.00
Saint-Julien,95,16.5,97,510.00
Pessac-Léognan,93,17,94,75.00
Puisseguin-Saint-Emilion,92,15,92,45.80
Sauternes,None,17,None,172.50
Margaux,88,16.5,93,38.58
Castillon Côtes de Bordeaux,92,None,91,20.25
Saint-Emilion,94,17,96,203.00
Haut-Médoc,None,None,89,24.00
Saint-Emilion,91,None,97,135.00
Haut-Médoc,None,None,None,16.40
Pauillac,96,17.5,97,773.33
Pomerol,91,16,92,76.00
Pauillac,90,17.5,93,77.00
Saint-Emilion,None,17.5,99.5,340.67
Saint-Emilion,None,None,89.5,37.10
Pomerol,90,15.5,None,125.00
Margaux,96,16.5,95.5,358.67
Listrac,90,16.5,93,24.50
Castillon Côtes de Bordeaux,None,None,90,16.58
Pomerol,None,None,92.5,27.58
Pomerol,90.0,16.5,96.5,130.00
Pomerol,90.0,16.5,94,79.00
Pessac-Léognan,92.0,16,95.5,139.00
Saint-Julien,89,16,92.5,123.33
Saint-Emilion,None,None,93.5,184.17
Sauternes,93,None,None,62.10
Margaux,81,15,None,110.17
Haut-Médoc,86,15,None,695.00
Pauillac,90.0,14.5,92.5,60.00
Saint-Julien,89,15.5,92,72.00
Saint-Emilion,92,16.5,95,57.10
Saint-Julien,89,15.5,93,118.30
Pomerol,85,15,None,69.00
Saint-Emilion,96,16.5,95,285.00
Pessac-Léognan,88.0,16.5,92,36.00
Saint-Julien,89,16,None,150.00
Saint-Estèphe,None,None,91.5,18.00
Sauternes,None,17.5,None,414.17
Saint-Emilion,100,17.5,97,820.00
Pauillac,86,None,None,210.00
Saint-Estèphe,89.0,15.5,92,30.17
Saint-Emilion,92.0,14.5,95,108.00
Saint-Emilion,97,16.5,96,300.00
Saint-Emilion,94.0,16.5,97,299.00
Pessac-Léognan,None,15,89.5,18.83
Pessac-Léognan,87,16.5,90,35.00
Saint-Emilion,95,18,94,234.00
Barsac,None,None,None,124.83
Pomerol,88,14.5,None,77.00
Pessac-Léognan,None,None,None,95.00
Pomerol,95.0,16,95,69.33
Saint-Estèphe,90,15.5,91.5,27.00
Pessac-Léognan,92,16,94,173.33
Pauillac,93,15.5,95,67.67
Vin de France,89.0,None,93,26.83
Saint-Julien,92,17,None,111.00
Pauillac,84.0,None,None,250.00
Pomerol,None,16,95.5,420.00
Saint-Julien,88,16,None,140.00
Pauillac,99,18.5,100,1 159.67
Saint-Emilion,97,17,None,125.00
Saint-Emilion,95,17.5,97,170.50
Sauternes,None,17,None,277.50
Saint-Julien,97,17.5,95,435.00
Saint-Emilion,None,17,95.5,965.83
Listrac,90,16,92,41.67
Haut-Médoc,88.5,16,90.5,18.00
Pauillac,95,19,98,1 375.00
Margaux,90.0,16.5,94.5,225.83
Pessac-Léognan,91.0,16,93.5,88.00
Castillon Côtes de Bordeaux,93,15.5,92.5,45.00
Saint-Estèphe,88,17,94,126.00
Pauillac,91,16.5,96,5 852.00
Saint-Emilion,None,15,93.5,185.00
Saint-Emilion,98,18,None,953.00
Saint-Emilion,94,16,94,40.00
Pessac-Léognan,88.0,None,93.5,103.33
Pomerol,98,16.5,99,320.00
Haut-Médoc,91.0,16,91,45.00
Haut-Médoc,None,None,89.5,108.33
Saint-Emilion,92.0,15.5,97,52.00
Margaux,87,17,92,199.00
Saint-Emilion,88.5,None,93,40.90
Pessac-Léognan,None,15,91.5,136.67
Fronsac,87.0,None,90,20.00
Margaux,88.0,None,91.5,37.00
Pomerol,93,15.5,93.5,69.00
Sauternes,None,17.5,94.5,86.17
Pauillac,97,19,100,1 490.00
Saint-Julien,None,None,90.5,32.70
Pomerol,91,16,92,75.00
Vin de France,90,None,92,31.67
Lalande de Pomerol,92.0,16.5,94,99.00
Saint-Julien,95,16,95,388.00
Barsac,89,17.5,None,47.10
Saint-Emilion,92.5,16,93.5,43.67
Bordeaux Blancs Secs,92,17,97,299.00
Saint-Emilion,94,16,None,410.00
Margaux,None,16,93.5,42.50
Saint-Estèphe,86,15.5,87.5,71.67
Pauillac,85.0,16.5,93,41.40
Pessac-Léognan,91,16,94,41.40
Saint-Emilion,89.0,14,90,25.00
Lalande de Pomerol,89.0,None,92.5,79.83
Barsac,None,17,None,207.50
Sauternes,None,17,None,143.33
Pessac-Léognan,89.0,None,93.5,20.83
Saint-Julien,88,None,None,150.00
Saint-Emilion,None,15.5,93,34.00
Saint-Julien,93,17,94,710.00
Pessac-Léognan,85,14.5,92,79.00
Pomerol,None,16,93.5,251.67
Saint-Emilion,93,16.5,None,535.00
Saint-Estèphe,88,17.5,90,690.00
Haut-Médoc,85,16,90.5,35.00
Margaux,92,15.5,94.5,172.00
Haut-Médoc,88,16,92,27.00
Pessac-Léognan,None,None,None,13.83
Saint-Estèphe,88,18.5,94,615.00
Pessac-Léognan,94,17.5,96,660.00
Saint-Emilion,92.0,17,97.5,373.00
Saint-Emilion,None,15,None,109.17
Saint-Emilion,91,15,93,44.70
Pomerol,90.0,None,93,45.00
Sauternes,95,16.5,93,60.00
Saint-Julien,91,16,91,230.00
Saint-Julien,94,16.5,95,295.00
Pauillac,88.0,16,95.5,98.00
Sauternes,90,16.5,90,42.00
Francs Côtes de Bordeaux,89.5,None,92.5,114.17
Pomerol,89.0,None,92.5,125.83
Saint-Emilion,93,16-,93,147.67
Saint-Emilion,91,14,92,33.80
Pauillac,None,None,None,58.33
Sauternes,None,None,92,31.00
Bordeaux,None,None,92,25.17
Saint-Emilion,None,16,92.5,172.50
Margaux,96,18,98,426.33
Saint-Emilion,94.0,16,93,54.50
Pauillac,100,17,100,1 360.00
Saint-Julien,94,17.5,None,310.00
Margaux,None,None,None,86.67
Pauillac,92,18,94,680.00
Sauternes,91,17,95,60.00
Margaux,94.0,17,94,112.90
Sauternes,93.0,15,96,52.67
Barsac,88,16,None,60.00
Pessac-Léognan,None,None,92,19.30
Pessac-Léognan,98,17.5,95.5,240.00
Sauternes,None,None,None,31.60
Saint-Emilion,97,16,98,257.33
Margaux,90.0,16,94.5,218.33
Saint-Emilion,92.0,16,91.5,168.33
Margaux,88,17.5,None,350.00
Montagne-Saint-Emilion,None,None,91,14.20
Saint-Julien,90,None,None,107.00
Saint-Julien,89.0,16,91.5,36.20
Saint-Estèphe,93,16,94,455.00
Saint-Emilion,93,None,None,91.50
Pessac-Léognan,92,15.5,94,50.00
Saint-Julien,89,16,92,39.00
Saint-Emilion,94,16,93,40.00
Saint-Emilion,87.0,14,95,51.17
Pauillac,91.5,16,93.5,319.17
Margaux,93,None,None,2 750.00
Vin de France,None,None,93,32.30
Pauillac,89.0,None,None,37.00
