Appellation,Robert,Robinson,Suckling,Prix
Pessac-Léognan,91.0,17,94,42.00
Saint-Estèphe,92,18,93,36.00
Pessac-Léognan,90,16.5,94,36.42
Saint-Emilion,93,16.5,95,68.00
Margaux,90,16.5,92,36.00
Margaux,91,16.5,92.5,33.33
Margaux,92,15,94,60.00
Pomerol,90.0,None,93.5,33.50
Saint-Emilion,89.0,16.5,94,42.00
Pessac-Léognan,90,16,93,31.00
Pomerol,89.0,None,91,41.00
Pomerol,93,17.5,96,105.00
Haut-Médoc,85,16,93,36.00
Moulis,90,15.5,92,34.92
Moulis,86,16,93,35.00
Margaux,89.0,16,96,58.25
Saint-Emilion,88.0,16.5,91,31.00
Pessac-Léognan,92,16.5,94,37.00
Castillon Côtes de Bordeaux,88,15,89.5,28.50
Pessac-Léognan,91.0,15.5,92,25.00
Saint-Estèphe,91,17,92,34.50
Saint-Estèphe,89,16,91,19.00
Pauillac,92,16.5,98,140.00
Haut-Médoc,94,17,95,47.83
Saint-Julien,95,17,94,67.00
Pessac-Léognan,88,16,91,37.00
Saint-Estèphe,92,15.5,94,48.00
Margaux,90.0,15,93,24.92
Pomerol,92.0,16,92,40.00
Montagne-Saint-Emilion,88.0,15,92,27.50
Margaux,84.0,None,92.5,24.00
Saint-Estèphe,90,17,93,41.83
Margaux,89.0,16.5,92,41.00
Lalande de Pomerol,None,16.5,92,28.50
Pauillac,93.0,18,94.5,72.00
Margaux,90.0,15.5,93,47.00
Saint-Estèphe,92.0,17.5,94,64.00
Castillon Côtes de Bordeaux,90,15.5,93,27.50
Margaux,None,None,91,18.50
Pomerol,None,None,93,37.00
Saint-Emilion,90.0,16.5,93.5,44.00
Pauillac,93,16,94,90.00
Castillon Côtes de Bordeaux,90,15,90,25.50
Saint-Estèphe,90,16,92.5,36.00
Barsac,90,17,None,73.33
Haut-Médoc,90.0,None,89.5,16.25
Saint-Estèphe,90,15.5,92,37.00
Saint-Estèphe,89,17,92,27.00
Margaux,92,17,94,55.00
Saint-Julien,93,16.5,97,70.00
Saint-Emilion,87,None,90.5,29.00
Lalande de Pomerol,None,None,91.5,24.50
Haut-Médoc,89.0,16,92,19.75
Pomerol,None,None,94,33.83
Pauillac,98,17.5,97,225.00
Saint-Emilion,93,16.5,94,41.00
Castillon Côtes de Bordeaux,89,15,93,27.00
Saint-Julien,87,16.5,89.5,71.67
Saint-Emilion,94,None,92.5,67.00
Margaux,88,15.5,91,31.00
Saint-Emilion,95,None,94,85.00
Pauillac,90.0,15.5,92.5,35.00
Pessac-Léognan,91,15.5,93,47.00
Pauillac,90,None,92.5,29.00
Saint-Emilion,88.0,None,95,36.00
Margaux,None,None,None,20.50
Listrac,88.0,16,90,18.75
Haut-Médoc,None,16.5,88,31.17
Pessac-Léognan,90,None,93,25.50
Pauillac,95,18,99,165.00
Saint-Emilion,None,None,None,22.50
Haut-Médoc,92,15.5,94,32.00
Margaux,94,16.5,95,116.00
Haut-Médoc,89,15.5,94,38.00
Pauillac,96,18.5,96,271.00
Haut-Médoc,90,16,92,29.67
Pessac-Léognan,93,16.5,95,50.50
Castillon Côtes de Bordeaux,89,14.5,91,21.00
Bordeaux,90.0,None,92.5,9.33
Pessac-Léognan,92,16.5,96,74.00
Pessac-Léognan,90,16,95,28.67
Saint-Estèphe,89.0,16,92,21.00
Saint-Emilion,93,15,93,48.00
Pauillac,99,17.5,98,1 150.00
Pomerol,92,16.5,96,53.00
Saint-Emilion,None,None,92,21.50
Saint-Julien,92,15.5,96,119.17
Saint-Julien,90.0,None,None,22.00
Saint-Emilion,93,16,94,36.42
Pauillac,85,14.5,93,36.00
Saint-Estèphe,None,None,92,17.50
Pessac-Léognan,94,16,98,103.00
Saint-Emilion,93,15.5,93.5,52.00
Saint-Emilion,93,16,93,52.00
Saint-Emilion,89,16,92,63.00
Pessac-Léognan,89,14,90.5,31.00
Castillon Côtes de Bordeaux,92,16.5,93,30.00
Barsac,95,16.5,95,46.67
Pauillac,90,15.5,94,37.00
Saint-Estèphe,87,14.5,93,28.50
Pomerol,90,14.5,95,45.00
Saint-Julien,None,16.5,92,26.50
Saint-Estèphe,87,16,92,33.00
Pauillac,92,17,93,66.00
Saint-Emilion,91,17,93,42.00
Saint-Emilion,94,None,93,79.00
Saint-Estèphe,90,16.5,93,34.00
Sauternes,None,15.5,None,25.00
Saint-Estèphe,None,15.5,88.5,21.67
Haut-Médoc,89,16.5,92,79.00
Saint-Emilion,None,None,None,24.50
Saint-Estèphe,93.0,15.5,93,52.00
Margaux,92,17,94,40.50
Pessac-Léognan,95,16.5,97,88.00
Pauillac,93,16.5,95,65.00
Pauillac,92,17,94.5,67.00
Haut-Médoc,None,None,90,24.00
Pessac-Léognan,93,16.5,92,45.25
Pomerol,91.0,None,93.5,30.00
Haut-Médoc,None,15.5,90,19.75
Saint-Julien,90,16,94,73.00
Margaux,None,None,92,24.00
Saint-Julien,94,17.5,96,139.00
Pessac-Léognan,95,16,91,42.00
Pauillac,None,17,99,150.00
Pessac-Léognan,90,16,92,25.00
Margaux,88,17,95,79.00
Médoc,90,16,93,29.00
Saint-Emilion,96,18,98,498.00
Haut-Médoc,89,15.5,92,27.00
Saint-Estèphe,None,15.5,92,22.00
